Year,Month,point_id,NDVI,NDMI,NDWI,EVI,LST,Rainfall,Rainfall_lag1,CHS_raw,CHS
2019,6,0,0.743909419,0.152572334,-0.671778679,0.480969301,32.13493759,62.19819191,73.93450904,1.059319504,0.722704662
2019,7,0,0.518622339,0.161243141,-0.404964805,0.481283422,24.08626907,394.8338165,62.19819191,0.127524154,0.629786806
2019,8,0,0.731208742,0.253154099,-0.62564522,0.599984328,24.79631068,253.6439495,394.8338165,1.850117559,0.801562386
2019,9,0,0.772564352,0.254706532,-0.652993023,0.471784464,23.36240638,205.8661423,253.6439495,1.648132003,0.781420554
2020,6,0,0.753093541,0.116773605,-0.654535592,0.470852825,28.93377947,78.84352794,205.8661423,1.02281466,0.71906443
2020,7,0,0.484937668,0.244113982,-0.375306308,0.519356393,26.26886269,228.0184461,78.84352794,0.293728281,0.646360543
2020,8,0,0.760815501,0.24630785,-0.638520539,0.538844872,24.38747573,520.5841732,228.0184461,1.741750289,0.790756092
2020,9,0,0.782712162,0.257622391,-0.697885215,0.404194795,26.74032594,83.81630287,520.5841732,1.737069961,0.790289374
2021,6,0,0.709613085,0.121341087,-0.648738086,0.443123001,28.62882802,74.23466873,83.81630287,0.795445993,0.696391416
2021,7,0,0.630720675,0.113505743,-0.599174619,0.442653277,25.59169209,516.4810629,74.23466873,0.59957214,0.676859038
2021,8,0,0.526595771,0.202933982,-0.422552675,0.460815553,23.64185853,186.1655922,516.4810629,0.527716446,0.669693648
2021,9,0,0.769450128,0.168370098,-0.636036038,0.416079295,23.4478294,447.6180191,186.1655922,1.195912287,0.736325581
2022,6,0,0.334896803,0.073117889,-0.472958654,0.215657847,32.0390846,91.77668595,447.6180191,-0.909614289,0.526364224
2022,8,0,0.445361197,0.191688746,-0.374597162,-0.710380757,24.33867545,233.4732475,91.77668595,-2.643048101,0.353507648
2022,9,0,0.550083816,0.170478776,-0.505915344,0.409344948,24.57382802,144.7479662,233.4732475,0.358118146,0.652781447
2023,6,0,0.427155614,0.110682607,-0.534363329,0.298197668,27.88492372,169.7137389,144.7479662,-0.377942673,0.579382075
2023,7,0,0.564668775,0.152869657,-0.577299416,0.456354471,25.24887656,548.7594948,169.7137389,0.635689226,0.680460604
2023,8,0,0.728314221,0.200066298,-0.64926374,0.504356511,23.09526352,249.1536341,548.7594948,1.62878364,0.779491152
